X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
-5.63414439972439,-5.649860805007138,-5.675735662702305,-5.6958981536140145,-5.7176716466383946,-5.737981288548792,-5.758385737219625,-5.778296871184732,-5.79808201502708,-5.817643377198019
-7.981466533516265,-7.98313833135974,-7.998378564956905,-8.006330574479291,-8.016752761138754,-8.025471861343744,-8.034583288681658,-8.043253916977825,-8.051967428624453,-8.060566824128328
-8.534407431845775,-8.558091287392104,-8.589666757465093,-8.616697228935134,-8.644825286788254,-8.671745695527694,-8.698626051748246,-8.725054137857592,-8.751303236343285,-8.77731655294128
-8.796629477224432,-8.831854419194636,-8.871797743290234,-8.907641469097186,-8.943588574998984,-8.978216297477532,-9.012420701530376,-9.046030670816506,-9.079286590528751,-9.112209332815743
-9.074174843944617,-9.11690550016863,-9.16286649650371,-9.20509456156685,-9.246991590508948,-9.287587475643711,-9.327610096802603,-9.367006357813217,-9.405987151257966,-9.444607941095878
-9.294283553401469,-9.342801464620319,-9.392815243014848,-9.440439124454315,-9.487519627010524,-9.533734292882603,-9.579435652953746,-9.624695935453872,-9.669625432318938,-9.714295866604287
-9.335060507606187,-9.384106860771444,-9.434044105731964,-9.482044535382382,-9.52939551335036,-9.575980304208803,-9.622023718999017,-9.66763480774156,-9.712891689701738,-9.757871488052578
-9.499101660855828,-9.55338184092706,-9.607514495295842,-9.660260804092669,-9.712135756506758,-9.763385817250041,-9.814054211787575,-9.86433243510186,-9.914254730457744,-9.963916279186515
-9.481954142202213,-9.537739356608347,-9.592042797102637,-9.644521407675793,-9.695602260736033,-9.745783405027328,-9.79515099940207,-9.84398973626451,-9.89237373544139,-9.940439345530054
-9.505203251952683,-9.552338418189477,-9.60031334461665,-9.647239393744103,-9.693782147349879,-9.73997050019544,-9.785844583254546,-9.831513641062335,-9.876987662142863,-9.922324497247303
-9.52128005227874,-9.564927421615852,-9.609526741076722,-9.653254213429241,-9.696759376848231,-9.740053964975768,-9.783167999884304,-9.826194687681152,-9.869134432180893,-9.912033603525988
-9.429864358646478,-9.468933591449566,-9.509553951497079,-9.54901179625098,-9.588416756149044,-9.62757087206091,-9.666611234896878,-9.70558214718643,-9.744508010149337,-9.783422835293694
-9.269420933641209,-9.293146488711768,-9.32111983027516,-9.349999668460535,-9.380344963866213,-9.411537461390996,-9.443436221978786,-9.475853355623935,-9.508658967286479,-9.541762836380547
-9.101978066775363,-9.130022442794191,-9.16102489010497,-9.191517980170428,-9.222659071902324,-9.253945270592808,-9.285471983812716,-9.317156142481313,-9.348977441624525,-9.3809117418599
-8.88322699999176,-8.908840567694572,-8.938009706222587,-8.968059892995882,-8.999308611563224,-9.031303758923896,-9.063870171904373,-9.096870254079379,-9.130176835052595,-9.163719356372622
-8.65063340489496,-8.67751461244068,-8.706652970800961,-8.737203301898935,-8.768697471277573,-8.801070103000272,-8.8339838652817,-8.867385749953407,-8.901114793874916,-8.935118812906259
-8.353719765847403,-8.394035889928727,-8.434275643706036,-8.475616858338544,-8.516877736016987,-8.558575816724332,-8.600271865610768,-8.64210754513476,-8.68393796605226,-8.725790823922898
-8.12693663086178,-8.17592711919256,-8.22300160136752,-8.270734607665485,-8.317601017810905,-8.364537722749473,-8.411088963369444,-8.45754525107116,-8.503793835791136,-8.549925178588948
-7.79587341096693,-7.844936503627929,-7.890857352717415,-7.937847635791326,-7.983690637246516,-8.029666849076843,-8.075184845668488,-8.1206132327312,-8.165814113997005,-8.210897697879972
-7.711513166223367,-7.7555765485070145,-7.797113218446325,-7.8397704088837745,-7.88157527854173,-7.9236439834070636,-7.965427591033528,-8.007241189435094,-8.048946390144032,-8.09063127779578
-7.607678713645019,-7.649842392177199,-7.689485385837548,-7.729861915721416,-7.769321709409817,-7.808915263390156,-7.8481860071556895,-7.887448855422032,-7.926595865141262,-7.965722036365161
